"cid","risk01r","risk02r","risk03i","risk04i","bene01d","bene02r","bene03r","bene04d","trus01r","trus02r","trus03d","trus04d","acce01r","acce02r","acce03d","acce04d"
"1","2","3","2","2","2","3","3","3","4","3","4","3","3","3","4","2"
"2","2","2","3","4","3","3","3","3","3","4","4","4","2","1","4","3"
"3","2","2","2","3","3","3","4","3","2","4","4","4","1","3","4","2"
"4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"5","1","1","1","1","5","1","1","1","1","5","1","5","1","3","1","1"
"6","2","3","2","3","2","3","3","1","1","2","4","2","1","2","1","1"
"7","2","2","2","2","3","2","3","3","2","4","3","4","2","2","2","2"
"8","3","2","3","3","2","4","3","3","3","1","3","4","2","2","2","4"
"9","1","1","4","1","2","1","1","5","1","5","5","1","1","2","1","5"
"10","1","1","5","1","5","3","3","3","2","1","3","4","1","1","4","2"
"11","2","1","3","3","3","3","3","3","2","4","3","3","3","3","3","3"
"12","4","4","3","4","4","4","3","4","2","4","4","4","4","4","4","2"
"13","2","1","1","2","4","1","3","2","2","1","2","2","1","1","3","1"
"14","2","3","3","2","3","3","3","3","2","5","5","5","1","2","3","3"
"15","2","2","2","2","2","3","2","2","2","4","2","2","2","3","2","2"
"16","1","1","1","3","1","2","3","3","1","2","3","2","1","1","1","1"
"17","4","3","3","5","3","2","3","3","1","3","5","3","3","3","3","3"
"18","2","1","2","2","5","5","5","5","1","3","2","4","3","3","5","3"
"19","2","2","3","3","3","4","4","2","3","4","4","1","3","3","4","2"
"20","5","1","4","5","5","5","5","5","3","5","5","5","3","5","5","3"
"21","2","1","2","1","5","1","1","1","5","5","1","5","1","1","1","1"
"22","3","3","3","3","2","3","3","3","5","3","3","3","3","3","3","3"
"23","2","3","3","4","3","3","3","3","2","5","4","5","3","3","3","3"
"24","3","4","3","4","4","4","4","3","2","4","2","2","3","3","2","3"
"25","3","1","3","3","5","3","3","1","3","5","3","5","3","1","3","3"
"26","1","1","2","4","1","2","2","2","1","3","2","3","1","1","2","2"
"27","1","1","1","3","3","3","3","3","1","4","5","4","1","1","2","2"
"28","3","4","5","5","5","5","5","5","4","5","4","4","5","5","4","3"
"29","1","3","3","3","1","3","3","4","2","5","4","3","1","3","3","3"
"30","1","1","1","1","3","1","3","2","1","5","1","5","1","1","1","1"
"31","2","2","1","3","2","2","2","3","1","5","1","1","1","1","2","1"
"32","2","2","2","4","4","3","4","3","1","4","2","3","1","3","3","3"
"33","1","1","1","1","1","1","1","1","1","5","1","5","1","1","1","1"
"34","1","3","2","2","4","2","4","4","1","2","5","2","1","1","2","2"
"35","3","2","3","3","3","3","3","4","2","3","3","3","3","3","3","3"
"36","1","2","3","2","3","3","4","4","3","4","3","4","4","3","4","2"
"37","2","3","2","2","5","2","2","3","3","3","3","3","2","2","2","2"
"38","5","5","5","4","5","5","5","5","5","5","4","4","5","5","5","5"
"39","1","5","1","3","1","5","3","5","5","5","5","5","1","5","3","3"
"40","2","4","3","4","3","3","4","4","3","3","5","4","3","4","3","3"
"41","3","2","4","4","5","5","4","4","1","3","4","4","3","4","4","4"
"42","4","3","4","4","4","4","4","5","2","3","1","4","3","2","4","4"
"43","3","2","3","4","4","4","3","5","3","4","4","5","3","3","4","4"
"44","2","4","3","4","5","1","5","5","1","2","3","3","2","1","5","4"
"45","3","5","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"46","2","1","3","3","5","3","2","4","1","1","5","2","1","1","3","1"
"47","1","1","1","1","1","2","1","1","1","5","4","5","1","2","2","1"
"48","1","1","1","2","2","1","2","2","1","4","4","3","1","2","2","2"
"49","1","1","1","1","1","1","1","1","1","5","1","5","1","1","1","1"
"50","2","3","3","3","3","3","3","3","3","2","3","3","3","2","3","3"
"51","2","4","2","3","3","2","3","3","2","3","3","3","2","4","2","2"
"52","1","3","1","5","2","1","4","5","3","1","5","2","3","1","1","2"
"53","3","1","2","2","3","3","4","2","2","1","4","2","3","2","1","2"
"54","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3"
"55","3","2","4","3","3","3","4","3","3","4","4","2","3","2","4","5"
"56","1","3","1","1","5","2","2","1","1","4","2","5","4","5","4","1"
"57","1","3","2","4","3","3","3","4","2","3","4","4","2","2","4","3"
"58","1","1","5","2","2","1","1","3","2","4","3","3","1","4","3","2"
"59","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"60","1","1","2","1","4","1","5","5","3","3","3","3","4","3","3","2"
"61","1","1","1","5","5","1","5","5","1","5","5","5","1","5","5","1"
"62","3","1","4","4","3","1","3","5","3","3","4","4","3","2","3","3"
"63","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"64","2","3","2","3","3","3","3","3","2","3","3","3","3","3","3","3"
"65","3","1","2","1","2","3","3","2","3","5","4","5","2","1","1","2"
"66","3","3","2","5","5","5","5","4","3","5","4","5","5","5","4","4"
"67","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"68","1","1","5","5","5","1","1","5","1","1","5","5","1","1","5","5"
"69","2","2","3","3","4","1","2","3","2","3","3","5","1","3","2","3"
"70","3","3","3","3","4","4","4","4","3","3","4","3","3","4","3","3"
"71","5","5","5","5","5","5","5","5","3","5","5","3","5","5","1","5"
"72","1","2","1","2","1","4","1","1","5","2","5","2","2","5","1","1"
"73","1","1","5","5","1","1","2","1","1","1","5","1","1","1","5","1"
"74","2","1","2","2","2","2","2","4","2","3","2","3","1","1","1","1"
"75","2","1","2","4","3","3","3","4","3","4","5","5","2","2","3","2"
"76","2","2","2","2","4","1","1","2","2","4","4","4","1","1","1","2"
"77","2","1","3","2","3","5","3","5","1","5","2","5","4","3","3","2"
"78","2","1","2","4","5","1","1","5","1","4","5","5","1","1","1","5"
"79","1","1","1","3","2","1","1","2","1","5","2","5","1","1","3","2"
"80","4","3","3","2","5","4","5","5","3","4","3","3","4","5","4","4"
"81","3","3","3","4","4","3","3","4","1","4","5","4","3","4","3","3"
"82","2","3","3","3","3","3","3","4","3","2","3","3","3","3","3","3"
"83","2","2","2","4","2","4","2","4","2","2","4","4","2","2","4","2"
"84","3","3","3","2","3","3","4","3","2","4","2","4","3","4","3","3"
"85","1","1","1","1","1","1","1","1","1","1","5","5","1","1","1","1"
"86","1","1","2","3","5","2","3","2","3","4","3","4","1","1","3","3"
"87","4","2","4","4","4","4","4","4","2","4","4","3","2","3","4","2"
"88","3","3","3","3","4","3","3","3","3","4","4","3","3","4","3","3"
"89","1","2","2","1","2","1","1","1","2","4","1","5","2","1","2","1"
"90","2","3","2","3","3","2","3","2","3","3","4","3","1","2","2","2"
"91","2","2","1","1","2","1","1","1","2","1","1","1","1","2","2","1"
"92","1","2","2","2","2","2","2","3","3","3","3","3","1","3","2","1"
"93","1","1","1","1","1","1","1","1","1","5","1","5","1","1","1","1"
"94","1","1","2","2","3","3","2","3","2","3","3","3","2","1","2","2"
"95","2","1","3","2","2","2","3","3","2","3","2","4","2","3","3","2"
"96","4","3","3","3","4","2","3","4","2","4","3","4","4","4","4","3"
"97","4","3","5","5","5","5","5","5","4","5","5","5","5","5","5","5"
"98","3","3","3","3","3","3","3","3","3","3","3","4","3","1","3","3"
"99","3","1","3","3","3","3","3","4","2","4","3","4","3","1","2","3"
"100","3","2","2","2","3","2","2","2","3","4","4","2","3","2","2","2"
"101","3","3","3","3","4","5","3","3","5","3","3","3","2","5","3","3"
"102","2","1","1","4","3","1","2","3","1","3","4","3","1","1","3","1"
"103","1","1","3","4","3","2","4","2","1","4","2","4","1","2","1","1"
"104","1","1","1","1","4","1","2","1","1","5","1","5","1","1","4","1"
"105","2","3","3","3","3","3","3","3","3","3","3","3","3","2","3","2"
